"","id","date","tavg"
"164","RSM00029862",1997-06-13,106
"165","RSM00029862",1997-06-14,100
"166","RSM00029862",1997-06-15,173
"167","RSM00029862",1997-06-16,176
"168","RSM00029862",1997-06-17,215
"169","RSM00029862",1997-06-18,236
"170","RSM00029862",1997-06-19,132
"171","RSM00029862",1997-06-20,165
"172","RSM00029862",1997-06-21,200
"173","RSM00029862",1997-06-22,213
"174","RSM00029862",1997-06-23,219
"175","RSM00029862",1997-06-24,245
"176","RSM00029862",1997-06-25,231
"177","RSM00029862",1997-06-26,180
"178","RSM00029862",1997-06-27,166
"179","RSM00029862",1997-06-28,221
"180","RSM00029862",1997-06-29,231
"181","RSM00029862",1997-06-30,211
"182","RSM00029862",1997-07-01,161
"183","RSM00029862",1997-07-02,164
"184","RSM00029862",1997-07-03,186
"185","RSM00029862",1997-07-04,235
"186","RSM00029862",1997-07-05,238
"187","RSM00029862",1997-07-06,246
"188","RSM00029862",1997-07-07,191
"189","RSM00029862",1997-07-08,201
"190","RSM00029862",1997-07-09,232
"191","RSM00029862",1997-07-10,192
"192","RSM00029862",1997-07-11,189
"193","RSM00029862",1997-07-12,203
"194","RSM00029862",1997-07-13,196
"195","RSM00029862",1997-07-14,190
"196","RSM00029862",1997-07-15,193
"197","RSM00029862",1997-07-16,204
"198","RSM00029862",1997-07-17,219
"199","RSM00029862",1997-07-18,203
"200","RSM00029862",1997-07-19,172
"201","RSM00029862",1997-07-20,145
"202","RSM00029862",1997-07-21,142
"203","RSM00029862",1997-07-22,153
"204","RSM00029862",1997-07-23,177
"205","RSM00029862",1997-07-24,180
"206","RSM00029862",1997-07-25,176
"207","RSM00029862",1997-07-26,132
"208","RSM00029862",1997-07-27,134
"209","RSM00029862",1997-07-28,138
"210","RSM00029862",1997-07-29,175
"211","RSM00029862",1997-07-30,194
"212","RSM00029862",1997-07-31,222
"213","RSM00029862",1997-08-01,221
"214","RSM00029862",1997-08-02,225
"215","RSM00029862",1997-08-03,223
"216","RSM00029862",1997-08-04,232
"217","RSM00029862",1997-08-05,218
"218","RSM00029862",1997-08-06,204
"219","RSM00029862",1997-08-07,205
"220","RSM00029862",1997-08-08,224
"221","RSM00029862",1997-08-09,220
"222","RSM00029862",1997-08-10,201
"223","RSM00029862",1997-08-11,125
"224","RSM00029862",1997-08-12,113
"225","RSM00029862",1997-08-13,101
"226","RSM00029862",1997-08-14,122
"227","RSM00029862",1997-08-15,167
"228","RSM00029862",1997-08-16,196
"229","RSM00029862",1997-08-17,203
"230","RSM00029862",1997-08-18,202
"231","RSM00029862",1997-08-19,185
"232","RSM00029862",1997-08-20,183
"233","RSM00029862",1997-08-21,163
"234","RSM00029862",1997-08-22,139
"235","RSM00029862",1997-08-23,141
"236","RSM00029862",1997-08-24,126
"237","RSM00029862",1997-08-25,133
"238","RSM00029862",1997-08-26,149
"239","RSM00029862",1997-08-27,157
"240","RSM00029862",1997-08-28,140
"241","RSM00029862",1997-08-29,115
"242","RSM00029862",1997-08-30,125
"243","RSM00029862",1997-08-31,146
"244","RSM00029862",1997-09-01,129
"245","RSM00029862",1997-09-02,125
"246","RSM00029862",1997-09-03,99
"247","RSM00029862",1997-09-04,81
"248","RSM00029862",1997-09-05,77
"249","RSM00029862",1997-09-06,101
"250","RSM00029862",1997-09-07,89
"251","RSM00029862",1997-09-08,82
"252","RSM00029862",1997-09-09,79
"253","RSM00029862",1997-09-10,81
"254","RSM00029862",1997-09-11,91
"255","RSM00029862",1997-09-12,116
"256","RSM00029862",1997-09-13,129
"257","RSM00029862",1997-09-14,132
"258","RSM00029862",1997-09-15,129
"259","RSM00029862",1997-09-16,109
"260","RSM00029862",1997-09-17,111
"261","RSM00029862",1997-09-18,110
"262","RSM00029862",1997-09-19,112
"263","RSM00029862",1997-09-20,115
"264","RSM00029862",1997-09-21,123
"265","RSM00029862",1997-09-22,95
"266","RSM00029862",1997-09-23,116
"267","RSM00029862",1997-09-24,104
"268","RSM00029862",1997-09-25,118
"269","RSM00029862",1997-09-26,148
"270","RSM00029862",1997-09-27,97
"271","RSM00029862",1997-09-28,69
"272","RSM00029862",1997-09-29,61
"273","RSM00029862",1997-09-30,11
"274","RSM00029862",1997-10-01,18
"275","RSM00029862",1997-10-02,23
"276","RSM00029862",1997-10-03,36
"277","RSM00029862",1997-10-04,57
"278","RSM00029862",1997-10-05,50
"279","RSM00029862",1997-10-06,42
"280","RSM00029862",1997-10-07,52
"281","RSM00029862",1997-10-08,109
"282","RSM00029862",1997-10-09,63
"283","RSM00029862",1997-10-10,89
"284","RSM00029862",1997-10-11,68
"285","RSM00029862",1997-10-12,99
"286","RSM00029862",1997-10-13,63
"287","RSM00029862",1997-10-14,11
"288","RSM00029862",1997-10-15,81
"289","RSM00029862",1997-10-16,93
"290","RSM00029862",1997-10-17,120
"291","RSM00029862",1997-10-18,114
"292","RSM00029862",1997-10-19,32
"293","RSM00029862",1997-10-20,4
"294","RSM00029862",1997-10-21,-18
"295","RSM00029862",1997-10-22,-19
"296","RSM00029862",1997-10-23,-31
"297","RSM00029862",1997-10-24,-26
"298","RSM00029862",1997-10-25,-29
"299","RSM00029862",1997-10-26,-21
"300","RSM00029862",1997-10-27,-26
"301","RSM00029862",1997-10-28,-32
"302","RSM00029862",1997-10-29,-31
"303","RSM00029862",1997-10-30,-45
"304","RSM00029862",1997-10-31,-49
"305","RSM00029862",1997-11-01,0
"306","RSM00029862",1997-11-02,44
"307","RSM00029862",1997-11-03,29
"308","RSM00029862",1997-11-04,23
"309","RSM00029862",1997-11-05,-38
"310","RSM00029862",1997-11-06,-61
"311","RSM00029862",1997-11-07,-52
"312","RSM00029862",1997-11-08,-1
"313","RSM00029862",1997-11-09,-71
"314","RSM00029862",1997-11-10,-35
"315","RSM00029862",1997-11-11,-54
"316","RSM00029862",1997-11-12,-23
"317","RSM00029862",1997-11-13,-130
"318","RSM00029862",1997-11-14,-121
"319","RSM00029862",1997-11-15,-53
"320","RSM00029862",1997-11-16,-18
"321","RSM00029862",1997-11-17,1
"322","RSM00029862",1997-11-18,-71
"323","RSM00029862",1997-11-19,-152
"324","RSM00029862",1997-11-20,-161
"325","RSM00029862",1997-11-21,-86
"326","RSM00029862",1997-11-22,-65
"327","RSM00029862",1997-11-23,-177
"328","RSM00029862",1997-11-24,-180
"329","RSM00029862",1997-11-25,-111
"330","RSM00029862",1997-11-26,-71
"331","RSM00029862",1997-11-27,-163
"332","RSM00029862",1997-11-28,-214
"333","RSM00029862",1997-11-29,-242
"334","RSM00029862",1997-11-30,-252
"335","RSM00029862",1997-12-01,-223
"336","RSM00029862",1997-12-02,-189
"337","RSM00029862",1997-12-03,-133
"338","RSM00029862",1997-12-04,-172
"339","RSM00029862",1997-12-05,-195
"340","RSM00029862",1997-12-06,-97
"341","RSM00029862",1997-12-07,-85
"342","RSM00029862",1997-12-08,-208
"343","RSM00029862",1997-12-09,-233
"344","RSM00029862",1997-12-10,-237
"345","RSM00029862",1997-12-11,-256
"346","RSM00029862",1997-12-12,-187
"347","RSM00029862",1997-12-13,-134
"348","RSM00029862",1997-12-14,-54
"349","RSM00029862",1997-12-15,-96
"350","RSM00029862",1997-12-16,-94
"351","RSM00029862",1997-12-17,-169
"352","RSM00029862",1997-12-18,-159
"353","RSM00029862",1997-12-19,-105
"354","RSM00029862",1997-12-20,-97
"355","RSM00029862",1997-12-21,-109
"356","RSM00029862",1997-12-22,-146
"357","RSM00029862",1997-12-23,-114
"358","RSM00029862",1997-12-24,-175
"359","RSM00029862",1997-12-25,-255
"360","RSM00029862",1997-12-26,-117
"361","RSM00029862",1997-12-27,-93
"362","RSM00029862",1997-12-28,-99
"363","RSM00029862",1997-12-29,-53
"364","RSM00029862",1997-12-30,-60
"365","RSM00029862",1997-12-31,-101
"366","RSM00029866",1997-01-01,-242
